Date,Open,High,Low,Close,Volume
2026-01-01,100.88,101.86,100.73,100.99,2465872
2026-01-02,101.02,101.31,100.21,100.84,1349639
2026-01-05,102.87,103.28,101.18,102.12,1412956
2026-01-06,104.75,105.96,104.48,105.02,1438873
2026-01-07,104.26,105.50,103.48,104.68,2186073
2026-01-08,104.70,106.10,103.90,105.45,1738421
2026-01-09,105.20,107.40,104.80,106.82,1563201
2026-01-12,107.05,108.12,106.01,107.55,1204398
2026-01-13,107.80,109.25,107.11,108.72,1987634
2026-01-14,108.90,110.18,108.22,109.44,1675432
2026-01-15,109.30,110.40,108.60,109.12,1432100
2026-01-16,109.05,111.22,108.74,110.85,1893401
2026-01-19,110.90,112.05,110.10,111.42,1324500
2026-01-20,111.30,112.60,110.72,112.18,1456789
2026-01-21,112.05,113.44,111.33,112.91,1765432
2026-01-22,112.80,114.12,112.11,113.67,1543210
2026-01-23,113.50,114.02,111.82,112.34,2012345
2026-01-26,112.50,113.66,111.20,111.76,1876543
2026-01-27,111.82,113.20,111.35,112.88,1654321
2026-01-28,113.00,114.48,112.62,114.02,1432109
2026-01-29,114.20,115.33,113.40,114.78,1543219
2026-01-30,114.70,115.80,113.82,114.15,1765320
2026-02-02,114.02,114.90,112.88,113.40,1321098
2026-02-03,113.22,114.31,112.70,113.88,1412300
2026-02-04,113.90,115.42,113.44,114.95,1890123
2026-02-05,115.10,116.12,114.30,115.72,1543290
2026-02-06,115.55,117.01,115.12,116.48,1765412
2026-02-09,116.35,117.50,115.70,116.91,1432104
2026-02-10,117.00,118.44,116.52,117.82,1654320
2026-02-11,117.90,118.90,116.90,117.15,1987654
2026-02-12,117.10,118.20,115.88,116.32,1876540
2026-02-13,116.20,117.44,115.02,115.76,1765432
2026-02-16,115.80,116.92,114.80,116.51,1543201
2026-02-17,116.60,118.01,115.90,117.66,1432100
2026-02-18,117.80,119.22,117.10,118.74,1675432
2026-02-19,118.90,120.05,118.22,119.55,1786543
2026-02-20,119.60,120.80,118.72,119.08,1543211
2026-02-23,119.00,120.11,117.90,118.24,1765430
2026-02-24,118.30,119.52,117.22,118.91,1654321
2026-02-25,119.02,120.40,118.60,119.88,1432109
2026-02-26,120.00,121.42,119.30,120.75,1876542
2026-02-27,120.80,122.11,120.02,121.34,1654320
2026-03-02,121.30,122.80,120.70,122.10,1543210
2026-03-03,122.20,123.40,121.55,122.76,1765432
2026-03-04,122.80,124.02,121.90,123.44,1432100
2026-03-05,123.50,124.70,122.80,124.02,1654321
2026-03-06,124.10,125.11,123.22,124.65,1876543
2026-03-09,124.80,126.01,123.70,125.22,1543209
2026-03-10,125.30,126.52,124.50,125.90,1765432
2026-03-11,126.00,127.42,125.10,126.72,1432109
2026-03-12,126.80,128.10,125.90,127.44,1654320
2026-03-13,127.50,128.72,126.44,128.05,1876541
2026-03-16,128.10,129.32,127.02,128.62,1543210
2026-03-17,128.70,130.05,127.90,129.34,1765432
2026-03-18,129.40,130.82,128.62,130.10,1432109
2026-03-19,130.20,131.41,129.44,130.78,1654320
2026-03-20,130.90,132.10,129.92,131.45,1876543
2026-03-23,131.50,132.80,130.60,132.12,1543201
2026-03-24,132.20,133.52,131.44,132.86,1765432
2026-03-25,132.90,134.12,132.10,133.45,1432100
2026-03-26,133.50,134.82,132.72,134.18,1654321
2026-03-27,134.20,135.52,133.40,134.85,1876542
2026-03-30,134.90,136.12,134.02,135.44,1543209
2026-03-31,135.50,136.80,134.60,136.10,1765432
2026-04-01,136.20,137.42,135.30,136.78,1432109
2026-04-02,136.90,138.12,136.00,137.45,1654320
2026-04-03,137.50,138.82,136.62,138.14,1876543
2026-04-06,138.20,139.42,137.30,138.75,1543210
2026-04-07,138.80,140.12,137.90,139.40,1765432
2026-04-08,139.50,140.72,138.62,140.08,1432109
2026-04-09,140.20,141.52,139.40,140.76,1654320
2026-04-10,140.80,142.02,140.00,141.44,1876541
2026-04-13,141.50,142.80,140.60,142.10,1543201
2026-04-14,142.20,143.52,141.44,142.76,1765432
2026-04-15,142.90,144.12,142.10,143.45,1432100
2026-04-16,143.50,144.82,142.72,144.18,1654321
2026-04-17,144.20,145.52,143.40,144.85,1876542
2026-04-20,145.00,146.12,144.02,145.44,1543209
2026-04-21,145.50,146.80,144.60,146.10,1765432
2026-04-22,146.20,147.42,145.30,146.78,1432109
2026-04-23,146.90,148.12,146.00,147.45,1654320
2026-04-24,147.50,148.82,146.62,148.14,1876543
